title,variant,price,imgUrl,link,l1,l2,inviteId,modelId,final_1688_link,price judge,update date,itemid,最大价格,tag,共有model数
午夜蓝手提袋（3种颜色）可调节成两种款式。（仅限镍色款可刻字，加收200泰铢）,镍（镍色）,26.5,https://cf.shopee.co.th/file/0582b1e23f2965d30472d1795f56703d,http://shopee.co.th/product/105217/407598,女包,手提包,IVCN202608315541,942222051,https://detail.1688.com/offer/895277738192.html?sourceId=V1-af8feacb4028d060cf2cc91333d8f5a6-S04&spm=a26352.b28411319/2508.0.0,P1,9月寻品,407598,29.15,高流量,1
这款传奇的慕斯长款钱包拥有精巧细致的隔层设计，提供充足的收纳空间。采用触感柔软的真牛皮制成。,黑色的,69,https://cf.shopee.co.th/file/th-11134207-81zte-mispyid9fzsye6,http://shopee.co.th/product/489528/1922963,女包,钱包,IVCN2026082413132,231696089506,https://detail.1688.com/offer/939018855021.html?spm=a26352.b28411319/2508.0.0,P0,9月寻品,1922963,75.9,高流量,1
衣服、鞋子、包包、腰带上的带子、皮带夹 L3（100 个/包）,17厘米肩带,7.1,https://cf.shopee.vn/file/8f9338735f5599a62ae2241d6dbf29f1,http://shopee.vn/product/52875263/2296953422,女包,包配件,IVCN2026082130085,29357210009,https://detail.1688.com/offer/45310469663.html?spm=a26352.b28411319.offerlist.6.70611e62tmPQVH,P1,9月寻品,2296953422,7.1,高流量,1
PVC材质证件卡套，正面透明，背面激光雕刻图案，尺寸9.5x6.4厘米。1包=1种颜色（颜色混装）。10包（500个）。,PVC材质证件卡套，正面透明，背面激光雕刻图案，尺寸9.5x6.4厘米。1包=1种颜色（颜色混装）。10包（500个）。,30,https://cf.shopee.co.th/file/th-11134207-7r98y-lwfna8658gr3c4,http://shopee.co.th/product/157177734/2351499414,女包,钱包,IVCN2026082130087,22938913524,https://detail.1688.com/offer/641021810310.html?,P0,9月寻品,2351499414,33,高流量,1
正品 A BATHING APE 2016 夏季系列真皮托特包。附带原装盒（不含杂志）。,2025 年新款，L,20,https://cf.shopee.co.th/file/th-11134207-81ztp-mr6qyadt61vk05,http://shopee.co.th/product/21990096/2367597877,女包,手提包,IVCN2026082130089,301838767233,https://detail.1688.com/offer/848072520132.html?kj_agent_plugin=aliprice&fromkv=xytTrace:210702e017817791665284764e0dc4&token=EQZLmuD4n%2Bfd80lwUZ6FfGVQAAHITgdMU2N4tnKwVJwZ4m9%2Fi5kvr9WEhbjY%2FoVv,P1,9月寻品,2367597877,22,高流量,1
DAVIES 男女通用真皮书包，黑色，可装15英寸笔记本电脑 | D-P49,D-P49,30,https://cf.shopee.vn/file/vn-11134207-820l4-mhfwdmt14g7fa4,http://shopee.vn/product/96065719/2494122499,女包,双肩包,IVCN2026082130091,203896214286,https://detail.1688.com/offer/842464526242.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i18&source=action%23offerItem%3Borigin%23shopee.vn&amug_biz=oneself&amug_fl_src=awakeId_982,P0,9月寻品,2494122499,33,高流量,1
20个装长方形透明塑料工作证信用卡夹保护套,20个装长方形透明塑料工作证信用卡夹保护套,3.2,https://cf.shopee.ph/file/cn-11134211-7qukw-ljnmu86vhss495,http://shopee.ph/product/164024258/2608493766,女包,钱包,IVCN2026082413134,22842296121,https://detail.1688.com/offer/780517635976.html?spm=a26352.13672862.offerlist.42.51c81e62239BIF&cosite=-&tracelog=p4p&_p_isad=1&clickid=2d60505feb8049cbbb4f8af59e7e5e37&sessionid=4cb51629d5ec55c386eeebf7407f6755,P0,9月寻品,2608493766,3.52,高流量,1
适用于7至24 BTU分体式空调的集尘袋,蓝色的,22,https://cf.shopee.com.br/file/e1cad5ab04e96058d6f8e318134096a0,http://shopee.com.br/product/369041928/3006775702,女包,包配件,IVCN2026082130093,24425871842,https://detail.1688.com/offer/708234162772.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0b5681be17604218115705143e1769&token=xao5z7hxNZFSr1nFqNbaSNFIYQ3snDlY4nEMg2wvPlVW5XSrJn7w9pWENlFp25Yn&tracelog=cps&clickid=a6035f1443a40b57fa23b406f210db5d&targetUrl=https%3A%2F%2Fs.click.1688.com%2Ft%3Fe%3DA6FEAF87A2FCFBDD05C1BD6ABB449CE46147FC88EA630CBAC31FEFBD3966EDE4DF88C915D5486E33D1003E749B3EAAA5861098A75E16F4D226600F2847DABD1A5F0FFA4FF39BCCC320D4625E68D0D47AF6FEC9241CC79F982F2298161E9E1CDC599E55A145F0E3EF4ADA7F392F941B8590EB082E000A881D68F91E9BE1365F817EEF6D6099BA67CE089F770C23C101B7813A934C0F781DAB6739E93F2B310CCFFEB9EE534395085D1902DC27197681C21FCCA9A124807C5BFF20AC604783231F504EC52EA7CE0500A23E0A153F6ACFA15F186578444B122EBA796A0B6A3A1047B112A6B4D0F1F0C7%26cbu_cps_trace_flag%3Dwrite,P1,9月寻品,3006775702,24.2,高流量,1
不锈钢旋转锁扣包扣，适用于DIY工艺品、货车、轮船、帆布钱包 - 每单1个,不锈钢旋转锁扣包扣，适用于DIY工艺品、货车、轮船、帆布钱包 - 每单1个,0.45,https://cf.shopee.com.my/file/9ed3ca95812c729c88f35b930a1ed18e,http://shopee.com.my/product/250382959/3149976294,女包,包配件,IVCN2026082130095,31049788277,https://detail.1688.com/offer/630717110485.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i9&source=action%23offerItem%3Borigin%23shopee.com.my&amug_biz=oneself&amug_fl_src=awakeId_982,P1,9月寻品,3149976294,0.5,高流量,1
三件套：大号斜挎包和洗漱包，Retta,Kit3 Kiara - Preto,42.43,https://cf.shopee.com.br/file/br-11134207-820lh-mn349t1tgyki2d,http://shopee.com.br/product/341708194/3489482168,女包,斜挎包,IVCN2026082130097,92147834866,https://detail.1688.com/offer/656912389343.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i12&source=action%23offerItem%3Borigin%23cf.shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,P0,9月寻品,3489482168,42.43,高流量,1
狗项圈，莲花项圈，椭圆形狗项圈，包包配件，每袋100件。,银色，1.5英寸,32,https://cf.shopee.co.th/file/7d7023a0a0df41e721ba4e8609f8bf83,http://shopee.co.th/product/331361304/3561716395,女包,包配件,IVCN2026082130099,61722519660,https://detail.1688.com/offer/616155695134.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2108837b17817799743877222e0d4e&token=oaXtX9Ba0k6DDCw1Lye4VQyiQ9CAqZFpxA1Lim2R6yWGuaVaajOTsH%2B8%2Bm%2BaqwGL,P1,9月寻品,3561716395,35.2,高流量,1
Taylor Clear 背包，适用于律师资格考试,Taylor Clear 背包，适用于律师资格考试,18.5,https://cf.shopee.ph/file/777e5e2310c2387b9b06040bbe146681,http://shopee.ph/product/5847746/4018174823,女包,双肩包,IVCN202607236895,32047454117,https://detail.1688.com/offer/680555752737.html?spm=a26352.b28411319.offerlist.10.2e7d1e6277eRZW&cosite=-&tracelog=p4p&_p_isad=1&clickid=5c94e46f0fd84ba5ba580275db01aded&sessionid=071cd32eda5030fd8d6edb5a63083431,P0,9月寻品,4018174823,20.35,高流量,1
[ 50Meter ] Nylon PP webbing for safety seat belt /school bag /shoulder strap/ 书包带/ 织带,硬质（代码：800），1英寸（25毫米）,12,https://cf.shopee.com.my/file/cdc7afb1d58f707632b5bd2efdc9b51f,http://shopee.com.my/product/204056164/4068961543,女包,包配件,IVCN2026082130101,52436831118,https://detail.1688.com/offer/782472855504.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2154647417642342128306078e18e1&token=Slk8jy66f%2BGJwAYw62ngdG6JRPBYsXObFu9%2Fl1aPZOJvTFVeeCkHUoy4u0zG0VIz,P1,9月寻品,4068961543,13.2,高流量,1
10个装 Katsa 钱包 素色收纳袋 高品质,10个7x5英寸的收纳袋,10,https://cf.shopee.ph/file/698b3891e44a20ac2e1efd010c5cd54a,http://shopee.ph/product/85672712/4346982992,女包,钱包,IVCN2026082413136,40631500776,https://detail.1688.com/offer/947710210577.html?spm=a26352.b28411319/2508.0.0&cosite=-&tracelog=p4p&_p_isad=1&clickid=153d5685c481440f82f66a51cedfd72e&sessionid=9fa31cfb902d409cbb8896bf4ea23c78,P0,9月寻品,4346982992,11,高流量,2
黑色儿童保温午餐包，书包，带可调节可拆卸肩带,所以,25,https://cf.shopee.com.br/file/br-11134207-820lz-mp0uqv6kpi4h4d,http://shopee.com.br/product/350193196/4570982759,女包,包配件,IVCN202607307200,189622694485,https://detail.1688.com/offer/974710770983.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i2&source=action%23offerItem%3Borigin%23shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,P1,9月寻品,4570982759,27.5,高流量,1
（新款）金龙KL201多功能黑色书包，适合中小学生,（新款）金龙KL201多功能黑色书包，适合中小学生,43,https://cf.shopee.vn/file/vn-11134207-7ras8-mc81ha1zer8jd9,http://shopee.vn/product/181412896/4645308677,女包,电脑包,IVCN202607236923,30520132592,https://detail.1688.com/offer/632299803146.html?spm=a26352.b28411319.offerlist.1.437d1e62mpxGaO,P1,9月寻品,4645308677,47.3,高流量,1
50 个 30x40 纯棉环保袋（环保袋），100% 原棉。,50 个 30x40 纯棉环保袋（环保袋），100% 原棉。,180.15,https://cf.shopee.com.br/file/br-11134207-820ls-mmkd1hta5dz806,http://shopee.com.br/product/319008473/4657733241,女包,托特包,IVCN2026082130103,22277671686,https://detail.1688.com/offer/651192083949.html?kj_agent_plugin=aliprice&fromkv=xytTrace%3A0bf8ca8917642358117513578e0feb&token=uKHP2gsI3zDGHDESOlAmw9xjPlfUR3h8gPRYJw2zALye04q7pdydk0HNPCwfLtnu&tracelog=cps&clickid=f22966dc678769791668032a9d46894f&targetUrl=https%3A%2F%2Fs.click.1688.com%2Ft%3Fe%3DD2DC7A927D55C03D6511A0CCA913FD65D6FA062685DFF8F7D920A558D1D5758C4B369BE324A83E744B8F19128B0D93E33FB8088B45F57B9E47F28FD2CC0E231B18AD4F779334558760FEF997084D4D5331EB6FC8DBCADED4C6C8CEEEE21320CC4BD39EA2FE12E3B117EFEA44DA876800C10CAB2A1336100AFD99C7186689F50D375E66642F694389348394BC3CC3C62B9992F8828C4BE8928719057E4328CB63CA2C9A5E8436F7975A24A50ED21218DF755827D45472D9097C3A95D4049A6502723BF267E8C440C7A266DDDEF549FFD7B57D2F1420DF63723CE01CBFDB37C5C8E22C312D630A07D9812EE290340EE46F%26cbu_cps_trace_flag%3Dwrite,P0,9月寻品,4657733241,180.15,高流量,1
可装90瓶指甲油的美甲背包 - 全黑包,可装90瓶指甲油的美甲背包 - 全黑包,52.34,https://cf.shopee.com.br/file/9b9052c856e2f004114601dd09d12499,http://shopee.com.br/product/329536801/4782565518,女包,双肩包,IVCN2026082130105,54273549302,https://detail.1688.com/offer/742390107167.html?fromkv=cbuPcPlugin:imageSearchDrawerCard&spm=a2639h.29135425.offerlist.i16&source=action%23offerItem%3Borigin%23shopee.com.br&amug_biz=oneself&amug_fl_src=awakeId_982,P0,9月寻品,4782565518,52.34,高流量,1
<建鑫> 可调节背包 防滑织带胸扣 耐用尼龙背带,黑色的,2.7,https://cf.shopee.ph/file/ph-11134201-7qul3-ljmieurafixbb8,http://shopee.ph/product/84176990/4802339444,女包,双肩包,IVCN2026082413139,8291079924,https://detail.1688.com/offer/655200710459.html?spm=a26352.b28411319/2508.0.0,P0,9月寻品,4802339444,2.97,高流量,1
正在加载...,正在加载...,0.22,https://cf.shopee.co.th/file/644bc54e503523e4ebe96b348e9590e8,http://shopee.co.th/product/2100180/5036101591,女包,其他,IVCN202608315543,306134978530,https://detail.1688.com/offer/739173300066.html?kj_agent_plugin=aliprice&fromkv=xytTrace:2132815517877973317958937e0c3b&token=e2UxtyXl%2F4lqjbs5hZ4LTjqNAkOPhzxBZF31z3530E0umntdUws91SmWihGfURm5,P1,9月寻品,5036101591,0.24,高流量,1
